page,chars_extracted,words_extracted,preview
143,2505,398,"142 11.9 Name of Scheme: Rashtriya Swasthya Bima Yojana (RSBY)   Social Security and healthcare assurance for all has been the motto of Government of India, and  it has taken various steps in this regard. One of the most important policy milestones is the  Unorganized Workers Social Security Act (2008) enacted by the Central Government to provide  for the social security and welfare of the unorganized workers. This act recommends that the  Central Government provide social security schemes to mi..."
144,2578,386,"143 • Contribution by Government of India: 75% of the estimated annual premium of Rs. 750,  subject to a maximum of Rs. 565 per family per annum. The cost of smart card will be  borne by the Central Government.  • Contribution by respective State Governments: 25% of the annual premium, as well as  any additional premium.  • The beneficiary would pay Rs. 30 per annum as registration/renewal fee.  • The administrative and other related cost of administering the scheme would be borne by  the respec..."
145,1919,266,"144 programme activities related to health promotion, early diagnosis, treatment and referral, and  further facilitates partnership with laboratories for early diagnosis in the private sector.  Simultaneously, it will attempt to create a wider knowledge base in the community for effective  prevention, detection, referrals and treatment strategies through convergence with the ongoing  interventions of National Rural Health Mission (NRHM), National Tobacco Control Programme  (NTCP), and National P..."
146,2038,298,"145 • Rehabilitation Under the 12th FYP, while the coverage is proposed to be pan - India, the focus  of the programme is on health promotion, prevention, detection, treatment and rehabilitative  services at decentralized level up to district hospital under the overall umbrella of National  Health Mission for primary and secondary level health care services. Tertiary care services are  being dealt separately. The programme division at the national level will develop broad  guidelines and strateg..."
147,2519,375,"146 • To identify health problems in the elderly and provide appropriate health interventions in the  community with a strong referral backup support.  • To build capacity of the medical and paramedical professionals as well as the care -takers within  the family for providing health care to the elderly.  • To provide referral services to the elderly patients through district hospitals, regional medical  institutions  • Convergence with National Rural Health Mission, AYUSH and other line departm..."
148,2064,292,147 to Community Health Centre or the District Hospital as per need.  Community Health  Centre • First Referral Unit (FRU) for the Elderly from PHCs and below.  • Geriatric Clinic for the elderly persons twice a week.  • Rehabilitation Unit for physiotherapy and counselling  • Domiciliary visits by the rehabilitation worker for bed ridden  elderly and counselling of the family members on their home -  based care.  • Health promotion and Prevention  • Referral of difficult cases to District Hospi...
149,1976,310,"148 11.12 Name of Scheme: Janani Shishu Suraksha Karyakram (JSSK)   In view of the difficulty being faced by the pregnant women and parents of sick new - born along - with high expenditure on delivery and treatment of sick - new-born, Ministry of health and  Family Welfare (MoHFW) has taken a major initiative to ensure better facilities for women and  child health services.   Type of scheme: Central Sector Scheme  Year of Commencement: 2011  Objectives of the scheme:  It is an initiative to prov..."
150,974,147,149 • Free diagnostics   • Free diet during stay in the health institutions   • Free provision of blood   • Exemption from user charges   • Free transport from home to health institutions   • Free transport between facilities in case of referral   • Free drop back from Institutions to home after 48hrs stay   The following are the Free Entitlements for Sick newborns till 30 days after birth. This has  now been expanded to cover sick infants:  • Free treatment   • Free drugs and consumables   • Fr...
151,1838,255,"150 11.13 Name of Scheme: National Health Mission (NHM)   The National Health Mission (NHM) seeks to provide universal access to equitable, affordable  and quality health care which is accountable, at the same time responsive, to the needs of the  people, reduction of child and maternal deaths as well as population stabilization, gender and  demographic balance.  Type of scheme: Central Sector Scheme  Year of Commencement: 2013  Objectives of the scheme:  i. Reduction in child and maternal morta..."
152,1781,280,"151 (i) Health Systems Strengthening including infrastructure, human resource, drugs &  equipment, ambulances, MMUs, ASHAs etc under National Rural Health Mission (NRHM)  and National Urban Health Mission (NUHM).  (ii) Reproductive, Maternal, Newborn, Child and Adolescent Health Services (RMNCH + A)  (iii) Communicable Disease Control Programmes  (iv) Non-Communicable Diseases Control Programme interventions upto District Hospital level  (v) Infrastructure Maintenance - to support salary of ANMs..."
153,1725,245,"152 Funding Pattern   Funding pattern is through flexible pools, viz., NRHM -RCH Flexible Pool, NUHM Flexible  Pool, Flexible pool for Communicable Diseases, Flexible Pool for Non -communicable Diseases,  Injury and Trauma and Infrastructure maintenance schemes.  Eligibility: Rural and Urban Areas.   Area of Operation  All States and Union Territories   For detail Information visit: http://nhm.gov.in/nhm/about -nhm.html        11.14 Name of Scheme: Rashtriya Bal Swasthya Karyakram (RBSK)  Rashtr..."
154,3197,490,"153 Facility based newborn screening This includes screening of birth defects in institutional  deliveries at public health facilities, especially at the designated delivery points by ANMs,  Medical Officers/ Gynaecologists. Existing health service providers at all designated delivery  points will be trained to detect, register report and refer birth defects to the District Early  Intervention Centers in District Hospitals.  Community Based Newborn Screening (age 0-6 weeks) for Birth Defect  Acc..."
155,2524,356,154 manager who would carry out mapping of tertiary care facilities in Government institutions for  ensuring adequate referral support. The funds will be provided under NRHM for management at  the tertiary level at the rates fixed by the State Governments in consultation with the Ministry of  Health and Family Welfare.  Children and students presumptively diagnosed to have a disease/ deficiency/disability/ defect  and who require confirmatory tests or further examination will be referred to the ...
156,1729,243,"155 15. Skin conditions (Scabies, fungal  infection and Eczema)  16. Otitis Media  17. Rheumatic heart disease  18. Reactive airway disease  19.Dental conditions  20. Convulsive disorders 21. Vision Impairment  22. Hearing Impairment  23. Neuro -motor Impairment  24. Motor delay  25. Cognitive delay  26. Language delay  27. Behavior disorder (Autism)  28. Learning disorder  29. Attention deficit hyperactivity disorder  30. Congenital Hypothyroidism, Sickle Cell Anemia, Beta Thalassemia (Optional..."
157,3299,569,"156 The key activities in HBNC constitute the provision of:  • Care for every newborn through a series of home visits by a ASHA in the first six weeks  of life. In most state contexts this health worker is the ASHA.  • Information and skills to the mother and family of every newborn to ensure better health  outcomes.  • An examination of every newborn for prematurity and low birth weight.  • Extra home visits for preterm and low birth weight babies by the ASHA or ANM, and  referred for appropria..."
158,1942,286,157 Salient features: NUHM would endeavour to achieve its goal through: -  i) Need based city specific urban health care system to meet the diverse health care needs of the  urban poor and other vulnerable sections.  ii) Institutional mechanism and management systems to meet the health -related challenges of a  rapidly growing urban population. versa. In such cases the HBNC incentive of Rs. 250 can be divided in to two parts in a  way that each ASHA who completes 3 visits or more is entitled to ...
159,1768,253,"158     Funding Pattern:   The centre -state funding pattern will be 75:25 for all the States except North -Eastern states  including Sikkim and other special category states of Jammu & Kashmir, Himachal Pradesh and  Uttarakhand, for whom the centre -state funding pattern will be 90:10.  Eligibility: NUHM would cover cities and towns with more than 50,000 population as well as  District Headquarters having population between 30,000 – 50,000,  Area of Operation: All States and Union Territories  ..."
160,2885,442,159 Salient features :   RNTCP has released a „National strategic plan for tuberculosis 2017 -2025‟ (NSP) for the control  and elimination of TB in India by 2025. According to the NSP TB elimination has been  integrated into the four strategic pillars of “Detect – Treat – Prevent – Build” (DTPB).   „National strategic plan for tuberculosis elimination 2017 -2025‟ -   RNTCP has released a „National strategic plan for tuberculosis 2017 -2025‟ (NSP) for the control  and elimination of TB in India b...
161,2451,378,"160 logistics management, direct data transfers, adherence support and to support interface agencies  which are supporting programme to expand the reach.   Public private partnership : For promotion of public -private mix (PPM) in TB prevention and  care, private providers are provided incentives for TB case notification, and for ensuring  treatment adherence and treatment completion. The incentives are provided through direct  beneficiary transfer.   The incentives to the Private Sector TB Care..."
162,3010,470,"161 (DOT is a specific strategy, to improve adherence by any person observing the patient taking  medications in real time. The treatment observer does not need to be a health -care worker, but  could be a friend, a relative or a lay person who works as a treatment supervisor or supporter. If  treatment is incomplete, patients may not be cured and drug resistance may develop).   Screening of all patients for rifampicin resistance (and for additional drugs wherever indicated)  is done. For drug s..."
163,1230,176,"162 • Mobile based “Pill-in-Hand” adherence monitoring tool   • Interactive Voice Response (IVR), SMS reminders.   • Specially designed electronic pill boxes or strips with GSM connection and pressure sensor   • Patient Compliance toolkit: a mobile app for patients to report treatment compliance using video,  audio or text message   • Automated pill loading system   • innovatively designed ICT enabled smart cards SMS gateway   Intensifying TB control activities in following key populations is ad..."
164,2282,368,"163 a) Air borne infection control measures -TB infection control is a combination of measures  aimed at minimizing the risk of TB transmission within population and hospital and other  settings. The foundation of such infection control is:   • Early diagnosis, and proper management of TB patients.   • Health education about cough etiquettes and proper disposal of sputum by patient. Cough  etiquette means covering nose and mouth when coughing or sneezing. This can be done with a  tissue, or if t..."
165,1026,145,"164 Close contacts of index cases with proven DR -TB (drug resistant -TB) will be monitored closely  for signs and symptoms of active TB as isoniazid may not be prophylactic in these cases.   d) BCG vaccination - It is provided at birth or as early as possible till one year of age. BCG  vaccine has a protective effect against meningitis and disseminated TB in children.   e) Addressing social determinants of TB like poverty, malnutrition, urbanization, indoor air  pollution, etc. require inter de..."
166,2498,372,165 Ministry of Housing and Urban Affairs  12.1 Name of Scheme: Lumpsum Provision scheme for the benefit of NER  Including Sikkim  The Scheme of 10% Lump Sum Provision for the benefit of North Eastern Region including  Sikkim became operational in the Ministry of Urban Development from the financial year 2001 -  02. It is now under implementation as per guidelines of Non -Lapsable Central Pool of Resources  (NLCPR). The assistance released from the Pool is tied with the project and no diversion ...
167,2215,316,"166 Funding Pattern :   (i) Funds will be released to the State Government / Executing agency whose projects have been  routed through and recommended by respective State Government.  (ii) For projects to be executed by the State Government through their agencies, the cost shall be  shared by the Central and State Government in ratio of 90:10. However, in case of projects to be  executed by Central Government agency, the sanctioning committee may provide enhanced level  funding. The State will b..."
168,2559,382,"167 existing livelihoods options of the urban poor; iii Building skills to enable access to growing  market -based job opportunities offered by emerging urban economies; iv Training for and  support to the establishment of micro -enterprises by the urban poor – self and group; v Ensure  availability and access for the urban homeless population to permanent 24-hour shelters  including the basic infrastructural facilities like water supply, sanitation, safety and security; vi  Cater to the needs o..."
169,2582,380,"168 population in urban areas by the States/UTs. The coverage may be broadened to include families  of disadvantaged groups like SCs, STs, women, minorities, disabled etc. subject to a maximum  of 25 percent of the above urban poor population.   Area of Operation: All States and Union Territories   For detail Information visit:  https://nulm.gov.in/PDF/NULM_Mission/NULM_mission_document.pdf      12.3 Name of Scheme: Pradhan Mantri Awas Yojana   “Housing for All” Mission for urban area will be im..."
170,2503,390,"169 Building Code (NBC). If available area of land, however, does not permit building of such  minimum size of houses as per NBC and if beneficiary consent is available for reduced size of  house, a suitable decision on area may be taken by State/UTs with the approval of SLSMC. All  houses built or expanded under the Mission should essentially have toilet facility. 2.4 The houses  under the mission should be designed and constructed to meet the require - The houses under the  mission should be d..."
171,2064,289,"170 Ministry of Human Resource Development   13.1 Name of Scheme: Rashtriya Uchchatar Shiksha Abhiyan (RUSA)   Rashtriya Uchchatar Shiksha Abhiyan (RUSA) is a Centrally Sponsored Scheme (CSS),  launched in 2013 aims at providing strategic funding to eligible state higher educational  institutions. RUSA places greater emphasis on the improvement of the quality of teaching -  learning processes in order to produce employable and competitive graduates, post -graduates and  PhDs. Spread across two p..."
172,1615,221,"171 Structure of Scheme:   RUSA would create new universities through upgradation of existing autonomous colleges and  conversion of colleges in a cluster. It would create new model degree colleges, new professional  colleges and provide infrastructural support to universities and colleges. Faculty recruitment  support, faculty improvements programmes and leadership development of educational  administrators are also an important part of the scheme. In order to enhance skill development  the exi..."
173,2052,293,"172 The central funding (in the ratio of 60:40 for general category States, 90:10 for special category  states and 100% for union territories) would be norm based and outcome dependent. The funding  would flow from the central ministry through the state governments/union territories to the State  Higher Education Councils before reaching the identified institutions. The funding to states  would be made on the basis of critical appraisal of State Higher Education Plans, which would  describe each..."
174,3241,472,"173 The Scheme will be implemented as a Centrally Sponsored Scheme by the Department through a  single State Implementation Society (SIS) at the State/UT level. At the National level, there  would be a Governing Council headed by Minister of Human Resource Development and a  Project Approval Board (PAB) headed by Secretary, Department of School Education and  Literacy. The Governing Council will be empowered to modify financial and programmatic  norms and approve the detailed guidelines for impl..."
175,599,86,"174 Funding Pattern : The fund sharing pattern for the scheme between Centre and States is at  present in the ratio of 90:10 for the 8 North -Eastern States viz. Arunachal Pradesh, Assam,  Manipur, Meghalaya, Mizoram, Nagaland, Sikkim and Tripura and 3 Himalayan States viz.  Jammu & Kashmir, Himachal Pradesh and Uttarakhand and 60:40 for all other States and Union  Territories with Legislature. It is 100% centrally sponsored for Union Territories without  Legislature.   Area of Operation: All St..."
176,1958,274,"175 Ministry of Micro, Small and Medium Enterprises   14.1 Name of Scheme: International Cooperation (IC)  Type of scheme: Central Sector Scheme  Year of Commencement: 1996   Objectives of the scheme:   Technology infusion and/or upgradation of Indian micro, small and medium enterprises  (MSMEs), their modernization and promotion of their exports are the principal  objectives of assistance under the International Cooperation Scheme.  Salient features:   The Scheme would cover the following activ..."
177,2172,325,"176 For office bearer(s) of the applicant organisation:  100% of the economy class airfare subject to a maximum of  Rs.1.50 lakhs or actual fare paid, whichever is lower.  (b) Duty allowance Office Bearer to get US Dollar 150 per day towards duty  allowance. It may be noted that no other items of expenditure  towards hotel accommodation, fooding, local transport etc.  are reimbursable separately to Office Bearer.  (c) Air fare, hotel  accommodation, local  transport and daily  allowance for Gove..."
178,2230,334,"177 (b) Air Fare For Micro, Small and Medium entrepreneurs:   100% of the economy class airfare subject to a maximum of Rs.1.50  lakhs or actual fare paid, whichever is lower (for one  representative from each participating enterprise).  For office bearer(s) of the applicant organisation:  100% of the economy class airfare subject to a maximum of  Rs.1.50 lakhs or actual fare paid, whichever is lower.  (c) Duty allowance Office Bearer to get US Dollar 150 per day towards duty  allowance. It may ..."
179,2215,321,178   Organisation of International Conferences/ Seminars in India:   Assistance may be provided under the scheme for organisation of  International Conferences/ Seminars in India wherein the foreign  participants/foreign speakers are 50% or more of the total participants/speakers.  Items of expenditure for which assistance may be considered are specified below: -   Sl.No Eligible Items of expenditure Scale of Assistance   Air fare for Foreign Resource  Persons. The amount of assistance for Airf...
180,2316,323,"179 (ii) International Events held in India: Rs. 5.00 lakh per event for participation in  International exhibitions/trade fairs and Rs.4.50  lakh for organization of International  Conferences/Seminars.  (iii) Holding/organising International  conferences/seminars/ workshops in  India by Ministry of MSME or  organizations under it. For each event, Administrative Wing of the  Ministry of MSME would seek the approval for  the budget from Minister of MSME after  consulting IFW.     Grants under th..."
181,2552,378,"180 Year of Commencement: 2008 -09   Objectives of the scheme:   (i) To generate employment opportunities in rural as well as urban areas of the country through  setting up of new self -employment ventures/projects/micro enterprises. (ii) To bring together  widely dispersed traditional artisans/ rural and urban unemployed youth and give them self -  employment opportunities to the extent possible, at their place. (iii) To provide continuous and  sustainable employment to a large segment of tradi..."
182,1863,283,"181 scheduled caste/scheduled tribe /women the margin money subsidy is 35% in rural areas and  25% in urban areas.   • Quantum of Margin Money Subsidy is given as follows:  Categories of beneficiaries  under PMEGP Beneficiary‟s  contribution (of  project cost) Rate of Subsidy (of  project cost)  Area (location of project/unit) Urban Rural  General Category 10% 15% 25%  Special (including SC / ST /  OBC /Minorities/Women, Ex-  servicemen, Physically  handicapped, NER, Hill and  Border areas etc. ..."
183,2172,311,"182 Area of Operation :   • Rural Area as declared under KVIC Act 2006 - Scheme to be implemented by KVIC, KVIB  and DIC (“Rural Area” means the area comprised in any Village and includes the area comprised  in any town, the population of which does not exceed twenty thousand or such other figure as the  Central Government may specify from time to time as declared under KVIC Act 2006)   • Urban area - Only District Industries Centers (DIC)   For detail Information visit: https://msme.gov.in/site..."
184,2238,318,"183 (b). The budget for organizing the Domestic Exhibitions/Trade Fair would depend upon the  various components of the expenditure, i.e. space rental including construction and fabricating  charges, theme pavilion, advertisement, printing material, transportation etc. However, the  budgetary support towards net expenditure for organizing such exhibition/trade fair would  normally be restricted to a maximum amount of Rs. 45 lakh. The corresponding budgetary limit  for participation in an exhibit..."
185,2036,280,"184 Entrepreneurship -cum-Skill Development Programme (E-SDP) 4. Management Development  Programme (MDP).   Above mentioned activities/programmes will be conducted through Implementing Agencies  (IAs) i.e. Office of DC MSME & its field offices, all field organizations of M/o MSME,  Ministries/Departments/organizations/Corporations/PSUs/Agencies under the administrative  control of Central/State Governments, as approved by the Empowered Committee headed by AS  & DC(MSME) from time to time. Respec..."
186,2367,364,"185 5. Trade and Industry Related Functional Support Services (TIRFSS)   6. Welfare Measure (Group Personal Accident Insurance Scheme)   Type of scheme: Central Sector Scheme   Year of Commencement: 2015   Structure of Scheme: The scheme has the following components during the 12th Plan: -   1. Skill Upgradation and Mahila Coir Yojana (MCY)   The Scheme, “Skill Upgradation & Mahila Coir Yojana” consists of two distinct  components. Viz. (a) Skill Upgradation, (b) Mahila Coir Yojana.   The Object..."
187,1868,259,"186 training sponsoring agency to meet the operational cost of the training for raw material, power  charges, other incidentals etc.   Under MCY, the Coir Board provides 75% cost of motorised Ratt/motorised traditional Ratt as  one time subsidy, subject to a ceiling of Rs.7,500 in the case of motorised Ratt and Rs.3,200 for  motorised traditional and Electronic Ratt.   Selection of trainees for in -house training at NCT&DC will be made by inviting applications  through advertisements in print an..."
188,2680,408,"187 Eligibility : Manufacturers, Entrepreneurs and Exporters of Coir.   3. Development of Production Infrastructure (DPI)   Coir Board is implementing the plan scheme „Development of Production Infrastructure‟ with  the objective of providing modern infrastructure facilities to coir production units, resulting in  improvement of productivity and quality and also in creation of employment opportunities  especially for women in the rural areas. It also aims the establishment of new “State of the A..."
189,2409,355,188 and the Showroom and Sales Depots of the Coir Board. The MDA is granted at the rate of 10%  of their average annual sales turnover of coir products including coir yarn and rubberized coir  goods during the preceding three financial years. This Assistance will be shared on 1:1 basis  between the Central Government and the concerned State/Union Territory Government. The  disbursement of Central share of MDA will be subject to the budgetary outlay available with the  Coir Board under the releva...
190,848,123,"189 3. Permanent partial disability: Rs.25,000   4. Provision for finger cut: Depending upon the finger and limited to applicable percentages of  capital sum insured.   Eligibility :   Coir workers aged 18 years and above engaged in the industry (no upper age limit) are covered  under the insurance scheme. The disabled coir worker or nominee of the disabled/deceased coir  worker can apply for the claim. Considering the welfare of the women who form the majority of  the group proposed, the accide..."
191,1424,211,"190 Schemes of the Khadi and Village Industries Commission     14.6.1 Name of Scheme: 'Pottery making activity' under ""Village Industry Development  Scheme (GVY)"" scheme  Type of scheme: Central Sector Scheme   Objectives:   • Increase technical knowledge of pottery making artisans and reduce production costs   • To increase the income of pottery making artisans by providing skill development  training and modern and automated equipment.   • To provide skill development training to self-help gro..."
192,1473,207,"191 • Person trained in related activity, formerly engaged in the same activity, will be given  preference based on their education and profile and minimum 50% for SC / ST / Female  candidates / BPL category   • Non-pottery -making artisans wishing to start new industries may be selected for the  training of press pottery -making and jigger -jolly etc.   How to apply   • Advertisements to be given by the State / Divisional Directors of KVIC through local  print / electronic media for inviting ap..."
193,1523,234,"192 Type of assistance   • 5 days beekeeping training is provided to the beneficiaries through various training  centers / State Beekeeping Extension Centers / Master Trainers as per the prescribed  syllabus.   • Assistance with bee boxes, tool kits etc.   Eligibility :   • Persons in the age group of 18 to 55 years with Aadhaar card or voter ID card etc. with  photograph.   • A person from a family will be eligible for 10 beekeeping boxes and tool kits (bee well,  smoker, knife and hive tool) a..."
194,1690,263,"193 14.6.3 Name of Scheme: ""Agarbati making project"" ""Village Industry Development  Scheme (GVY)"" scheme   Type of scheme: Central Sector Scheme   Objectives:   • Reviving the agarbatti industry in the country;   • Increasing indigenous production of incense sticks to reduce imports;   • To provide training to the artisans working in the agarbati sector and to assist them with  agarbatti manufacturing machines, raw materials for making incense sticks, etc.;   • Create permanent employment for tr..."
195,596,76,"194 How to apply   • Advertisements to be given by the State / Divisional Directors of KVIC through local  print / electronic media for inviting applications with project proposals from prospective  beneficiaries / self -help groups wishing to undertake experimental projects / training /  setting up machines etc. By answering   • Contact the concerned State Office, KVIC for details.   Area of Operation: All States and Union Territories      For detail Information visit: https:// www.champions.go..."
196,1866,273,"195 Ministry of Minority Affairs  15.1 Name of Scheme: The Maulana Azad Education Foundation (MAEF)   The Maulana Azad Education Foundation (MAEF) was established in 1989 as a voluntary, non -  political, non-profit making society registered under the Societies Registration Act, 1860.   Type of scheme: Educational schemes (Plan Assistance).   Year of Commencement: 1989   Objectives of the scheme:   The main objectives of MAEF are to provide basic educational infrastructure and facilities in the ..."
197,2472,380,"196 Each document/enclosure attached to the application, must be certified/attested by Society/Trust  official or Notary Public.   On receipt of proposal, it will be scrutinized in the office of the Foundation, and the  shortcomings will be communicated to the Organization/Institutions by registered post.   The complete proposals shall be referred for inspection, which shall be carried out through State  Government officials, members of the Foundation or by any other person to whom the  Foundati..."
198,1829,262,"197 (VTC) Building  b) For Purchase of Equipments/tools/machines for VTC  5,00,000/ -  15. a) For Construction/Expansion of Technical Institute/ITI/ITC  bldg.  b) For Purchase of Equipments/Machines/Tools for Technical 10,00,000/ -   8,00,000/ -     Note: a) 100 Bedded Hostel may be provided only if the Institution is already having hostel  facility with at least 50 Bedded accommodations. Initially 30 Bedded hostel may be provided on  experimental basis.   b) For Girl‟s school from class 8th onw..."
199,2529,405,"198 • Society/Trust must be having proper audit reports with Balance Sheet, Receipt - Payment and  Income -Expenditure statements reflecting educational activities carried out for the last three  years.   • Society/Trust should be in a position to receive involvement of knowledge -able persons for  furtherance of their programmes on voluntary basis.   • Society/Trust (NGO) should not be run for the profit of any individual or a body of individuals/  family and it should not be controlled by any ..."
200,1767,249,"199 Area of Operation : All States and Union Territories   For detail Information visit:  http://www.minorityaffairs.gov.in/en/schemesperformance/corpus -funds -maef        15.2 Name of Scheme: Seekho aur Kamao (Learn & Earn)   The scheme will aim at upgrading the skills of the minority youths in various modern/traditional  vocations depending upon their educational qualification, present economic trends and the  market potential, which can earn them a suitable employment or make them suitably s..."
201,1522,215,"200 b) Any private recognized/registered professional institution of repute conducting such skill  development courses for at least last three years with established market linkages and  placement record.  c) Any industry or an association of industries like ASSOCHAM, CII, FICCI, etc.  d) Any institution of Central/State Governments including Public Sector Undertakings and  Training institutes of Central/ State Governments including Panchayati Raj Training  institutions.  e) Civil Societies (CS)..."
202,2407,369,"201 Ministry of New and Renewable Energy     16.1 Name of Scheme: Grid Connected Rooftop and Small Solar Power Plants Programme   The Government, on 19th February 2019 approved Phase -II of „Grid Connected Rooftop and  Small Solar Power Plants Programme‟ for achieving cumulative capacity of 40 GW RTS plants  by 2022. In Phase -II, it has been decided to implement the programme by making the DISCOMs  and its local offices as the nodal points for implementation of the RTS programme. DISCOMs  will ..."
203,473,57,202 Component A: Setting up of 4000 MW of grid connected rooftop solar projects in residential  sector with Central Financial Assistance (CFA).   Component B: Incentives to Electricity Distribution Companies (DISCOMs) based on  achievement towards initial 18000 MW of grid connected rooftop solar plants.   Area of Operation : All States and Union Territories   For detail Information visit:  http://164.100.77.194/img/documents/uploads/7ccd3b4b3bb94a51af516e2ee4fdede3.pdf
204,2012,316,203 Ministry of Rural Development     17.1 Name of Scheme: National Social Assistance Programme (NSAP)   The National Social Assistance Programme (NSAP) is a welfare programme being administered  by the Ministry of Rural Development. This programme is being implemented in rural areas as  well as urban areas . NSAP represents a significant step towards the fulfilment of the Directive  Principles of State Policy enshrined in the Constitution of India which enjoin upon the State to  undertake withi...
205,2111,321,"204 • National Family Benefit Scheme (NFBS): Under the scheme a BPL household is entitled to  lump sum amount of money on the death of primary breadwinner aged between 18 and 64  years. The amount of assistance is Rs. 20.000/ -.   • Annapurna: Under the scheme, 10 kg of food grains per month are provided free of cost to  those senior citizens who, though eligible, have remained uncovered under NOAPS .   Eligibility: All individuals living below the poverty line, elderly, widows and persons with ..."
206,2166,326,205 opportunities. Improved access to education centers helps in better school attendance and higher  level of education.  Providing affordable and easily accessible health facilities is prime focus of the government for  which road connectivity plays an important role. All weather roads have shown a very positive  correlation to improve in health indicators.  The program will focus on upgradation of existing Through Routes and Major Rural Links based  on priority giving importance to critical f...
207,2268,389,"206 household whose adult members volunteer to do unskilled manual work"". Another aim of  MGNREGA is to create durable assets (such as roads, canals, ponds, wells). Employment is to  be provided within 5 km of an applicant's residence, and minimum wages are to be paid. If work  is not provided within 15 days of applying, applicants are entitled to an unemployment  allowance. Thus, employment under MGNREGA is a legal entitlement.   Salient features:   1. Adult members of a rural household, willin..."
208,2295,363,"207 12. The shelf of projects for a village will be recommended by the gram sabha and approved by the  Zilla panchayat.   13. At least 50% of works will be allotted to Gram Panchayats for execution.   14. Permissible works predominantly include water and soil conservation, afforestation and land  development works.   15. A 60:40 wage and material ratio has to be maintained. No contractors and machinery is allowed.   16. The Central Government bears the 100 percent wage cost of unskilled manual l..."
209,1616,226,"208 17.4 Name of Scheme: Deendayal Antayodaya Yojana - National Rural Livelihoods  Mission (NRLM)  Aajeevika - National Rural Livelihoods Mission (NRLM) was launched by the Ministry of Rural  Development (MoRD), Government of India in June 2011. It was renamed as DAY -NRLM in  2015.   Type of scheme: Central Sector Scheme  Year of Commencement: 2011  Objectives of the scheme:  To reduce poverty by enabling the poor households to access gainful self-employment and  skilled wage employment opportu..."
210,1718,257,"209 DAY -NRLM is a Centrally Sponsored Scheme and the financing of the programme would be  shared between the Centre and the States in the ratio of 60:40 (90:10 in case of North Eastern  States including Sikkim; completely from the Centre in case of UTs).   Eligibility: All rural poor families (BPL families), youth, SHGs, particularly on vulnerable  communities such as manual scavengers, victims of human trafficking, Particularly Vulnerable  Tribal Groups (PVTGs), Persons with Disabilities (PwDs..."
211,1992,282,"210 · Shifting Emphasis from Training to Career Progression  Pioneers in providing incentives for job retention, career progression and foreign placements   · Greater Support for Placed Candidates  Post-placement support, migration support and alumni network   · Proactive Approach to Build Placement Partnerships  Guaranteed Placement for at least 75% trained candidates   · Enhancing the Capacity of Implementation Partners  Nurturing new training service providers and developing their skills  · R..."
212,2249,348,"211 17.6 Name of Scheme: Pradhan Mantri Awas Yojana – Gramin (PMAY -G)   Pradhan Mantri Awas Yojana – Gramin (PMAY -G) previously Indira Awaas Yojana (IAY), is a  social welfare flagship programme, created by the Central Government, to provide housing for  the rural poor in India.   Type of scheme: Central Sector Scheme  Year of Commencement: 2016  Objectives of the scheme:  PMAY -G aims at providing a pucca house with basic amenities, to all houseless households and  those households living in ..."
213,2298,320,"212 17.7 Name of Scheme: Shyama Prasad Mukherji Rurban Mission (SPMRM)   The National Rurban Mission (NRuM) follows the vision of “Development of a cluster of  villages that preserve and nurture the essence of rural community life with focus on equity and  inclusiveness without compromising with the facilities perceived to be essentially urban in  nature, thus creating a cluster of “Rurban Villages”.   Type of scheme: Central Sector Scheme  Year of Commencement: 2016  Objectives of the scheme:  ..."
214,1363,202,"213 implementation in an integrated and time bound manner. Under NRuM framework, Government  of India shall provide Critical Gap Funding (CGF) to the clusters to supplement the shortfall in  funding available through various Government schemes in achieving the outcomes desired for  the cluster. In order to facilitate speedy convergence, the Ministry of Rural Development will  request the respective Central Ministries/Departments for effecting changes in the guidelines of  the Central Sector and ..."
215,2229,332,"214 Ministry of Textiles   18.1 Name of Scheme: Cluster Development Project of Handloom in NER under North  East Textiles Promotion Scheme  Type of scheme : Central Sector Scheme  Year of Commencement: 2014  Objectives:  The main objective of the scheme is to develop handloom sector in NER by providing the  required government support to achieve increase in employment and value of handloom products  by means of improvement in design capability, diversification of product lines and value  additio..."
216,2474,398,"215 One time assistance upto Rs.5 lakh towards purchase of requisite hardware and  software for Computer Aided Textile Design (CATD) System, colour forecast, trend forecast  and other allied requirement, including card punching machine (if required). In case, only one  item i.e. Computer Aided Textile Design System (CATD) System or Card Punching Machine  is required, financial assistance is restricted to Rs.2.50 lakh per item. Financial assistance for  purchase of CATD system and Card Punching M..."
217,2382,379,"216 Under this component, preference will be given to the weavers Below the Poverty Line  (BPL). For construction of houses, the weavers may avail assistance under Indira Awas Yojana  of the Ministry of Rural Development while assistance towards Workshed can be availed by  them under this Scheme. Weavers other than BPL will be considered only after the weavers  falling under BPL are covered as far as possible. The entire assistance of Rs 40,000 will be  met by the Central Government in the case ..."
218,1658,277,"217 Iii Product development/  diversification Rs. 2.00 lakh (100% GoI)  iv Engagement of  Designer -cum-  Marketing Executive Rs. 15,000 p.m. per cluster per designer.  If clusters are adjoining, then one designer will  look after 2-3 clusters and will be paid Rs.  20,000 p.m. (100% GoI)  V Purchase of computer aided  textile design system  (CATD) system, including  purchase of card punching  machine (if required). If  only single item is required,  total eligible amount is Rs.  2.50 lakh Rs. 5...."
